Id;KodePos;Kelurahan;Kecamatan;Jenis;Kabupaten;Propinsi
1;23611;Gampa;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
2;23611;Kampung Belakang;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
3;23611;Kampung Darat;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
4;23611;Kampung Pasir;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
5;23611;Leuhan;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
6;23611;Padang Seurahet;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
7;23611;Seuneubok;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
8;23611;Suak Nie;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
9;23611;Suak Raya;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
10;23611;Suak Ribee;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
11;23611;Suak Sigadeng;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
12;23611;Suwak Indrapuri;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
13;23612;Panggong;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
14;23612;Pasar Aceh;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
15;23613;Ujung Kalak;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
16;23614;Kuta Padang;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
17;23615;Balee;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
18;23615;Bukit Jaya;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
19;23615;Buloh;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
20;23615;Gunong Kleng;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
21;23615;Langung;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
22;23615;Mesjid Tuha;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
23;23615;Meureubo;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
24;23615;Pasi Aceh Baroh;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
25;23615;Pasi Aceh Tunong;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
26;23615;Pasi Mesjid;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
27;23615;Pasi Pinang;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
28;23615;Paya Baro Rp.;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
29;23615;Paya Peunaga;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
30;23615;Peunaga Cut Ujong;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
31;23615;Peunaga Pasi;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
32;23615;Peunaga Rayeuk;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
33;23615;Pucok Reudeup;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
34;23615;Pulo Teungoh Ranto;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
35;23615;Ranto Panyang Barat;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
36;23615;Ranto Panyang Timur;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
37;23615;Ranub Dong;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
38;23615;Reudeup;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
39;23615;Sumber Batu;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
40;23615;Ujong Baroh;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
41;23615;Ujong Drien;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
42;23615;Ujong Tanjong;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
43;23615;Ujong Tanoh Darat;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
44;23616;Rundeng;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
45;23617;Drien Rampak;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
46;23618;Blang Berandang;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
47;23618;Lapang;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
48;23652;Alue Bagok;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
49;23652;Alue Bakong;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
50;23652;Alue Batee;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
51;23652;Alue Lhok;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
52;23652;Alue Raya;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
53;23652;Alue Sundak;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
54;23652;Arongan;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
55;23652;Beurawang;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
